trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD230104,09:41:47,09:42:27,212_2,8
WD230104,09:44:21,09:45:01,211_2,9
WD230104,09:47:09,09:47:49,210_2,10
WD230104,09:50:46,09:51:26,209_2,11
WD230104,09:52:39,09:53:19,208_2,12
WD230104,09:54:50,09:55:30,207_2,13
WD230104,09:57:08,09:57:48,206_2,14
WD230104,09:59:40,10:00:20,205_2,15
WD230104,10:01:46,10:02:26,204_2,16
WD230104,10:03:40,10:04:20,203_2,17
WD230104,10:05:55,10:06:35,202_2,18
WD230104,10:08:57,10:12:27,201_2,19
WD020105,10:08:57,10:12:27,201_2,1
WD020105,10:14:43,10:15:43,202_1,2
WD020105,10:17:18,10:17:58,203_1,3
WD020105,10:19:11,10:19:51,204_1,4
WD020105,10:21:18,10:21:58,205_1,5
WD020105,10:23:48,10:24:28,206_1,6
WD020105,10:26:07,10:26:47,207_1,7
WD020105,10:28:19,10:28:59,208_1,8
WD020105,10:30:12,10:30:52,209_1,9
WD020105,10:33:46,10:34:26,210_1,10
WD020105,10:36:33,10:37:33,211_1,11
WD020105,10:39:27,10:40:07,212_1,12
WD020105,10:41:52,10:42:32,213_1,13
WD020105,10:44:54,10:45:34,214_1,14
WD020105,10:48:20,10:49:00,215_1,15
WD020105,10:50:51,10:51:51,216_1,16
WD020105,10:54:39,10:55:19,115_1,17
WD020105,10:57:18,10:57:58,116_1,18
WD020105,11:00:00,11:02:30,117_2,19
WD230106,11:00:00,11:02:30,117_2,1
WD230106,11:05:32,11:06:12,116_2,2
WD230106,11:08:08,11:08:48,115_2,3
WD230106,11:10:29,11:11:09,216_2,4
WD230106,11:12:55,11:13:35,215_2,5
WD230106,11:16:33,11:17:13,214_2,6
WD230106,11:19:27,11:20:07,213_2,7
WD230106,11:21:47,11:22:27,212_2,8
WD230106,11:24:21,11:25:01,211_2,9
WD230106,11:27:09,11:27:49,210_2,10
WD230106,11:30:46,11:31:26,209_2,11
WD230106,11:32:39,11:33:19,208_2,12
WD230106,11:34:50,11:35:30,207_2,13
WD230106,11:37:08,11:37:48,206_2,14
WD230106,11:39:40,11:40:20,205_2,15
WD230106,11:41:46,11:42:26,204_2,16
WD230106,11:43:40,11:44:20,203_2,17
WD230106,11:45:55,11:46:35,202_2,18
WD230106,11:48:57,11:52:27,201_2,19
WD020107,11:48:57,11:52:27,201_2,1
WD020107,11:54:43,11:55:43,202_1,2
WD020107,11:57:18,11:57:58,203_1,3
WD020107,11:59:11,11:59:51,204_1,4
WD020107,12:01:18,12:01:58,205_1,5
WD020107,12:03:48,12:04:28,206_1,6
WD020107,12:06:07,12:06:47,207_1,7
WD020107,12:08:19,12:08:59,208_1,8
WD020107,12:10:12,12:10:52,209_1,9
WD020107,12:13:46,12:14:26,210_1,10
WD020107,12:16:33,12:17:33,211_1,11
WD020107,12:19:27,12:20:07,212_1,12
WD020107,12:21:52,12:22:32,213_1,13
WD020107,12:24:54,12:25:34,214_1,14
WD020107,12:28:20,12:29:00,215_1,15
WD020107,12:30:51,12:31:51,216_1,16
WD020107,12:33:38,12:34:18,115_1,17
WD020107,12:37:08,12:37:48,116_1,18
WD020107,12:40:00,12:42:30,117_2,19
WD230108,12:40:00,12:42:30,117_2,1
WD230108,12:45:32,12:46:12,116_2,2
WD230108,12:48:08,12:48:48,115_2,3
WD230108,12:50:29,12:51:09,216_2,4
WD230108,12:52:55,12:53:35,215_2,5
WD230108,12:56:33,12:57:13,214_2,6
WD230108,12:59:27,13:00:07,213_2,7
WD230108,13:01:47,13:02:27,212_2,8
WD230108,13:04:21,13:05:01,211_2,9
WD230108,13:07:09,13:07:49,210_2,10
WD230108,13:10:46,13:11:26,209_2,11
WD230108,13:12:39,13:13:19,208_2,12
WD230108,13:14:50,13:15:30,207_2,13
WD230108,13:17:08,13:17:48,206_2,14
WD230108,13:19:40,13:20:20,205_2,15
WD230108,13:21:46,13:22:26,204_2,16
WD230108,13:23:40,13:24:20,203_2,17
WD230108,13:25:55,13:26:35,202_2,18
WD230108,13:28:57,13:32:27,201_2,19
WD020109,13:28:57,13:32:27,201_2,1
WD020109,13:34:43,13:35:43,202_1,2
WD020109,13:37:18,13:37:58,203_1,3
WD020109,13:39:11,13:39:51,204_1,4
WD020109,13:41:18,13:41:58,205_1,5
WD020109,13:43:48,13:44:28,206_1,6
WD020109,13:46:07,13:46:47,207_1,7
WD020109,13:48:19,13:48:59,208_1,8
WD020109,13:50:12,13:50:52,209_1,9
WD020109,13:53:46,13:54:26,210_1,10
WD020109,13:56:33,13:57:33,211_1,11
WD020109,13:59:27,14:00:07,212_1,12
WD020109,14:01:52,14:02:32,213_1,13
WD020109,14:04:54,14:05:34,214_1,14
WD020109,14:08:20,14:09:00,215_1,15
WD020109,14:10:51,14:11:51,216_1,16
WD020109,14:13:38,14:14:18,115_1,17
WD020109,14:17:08,14:17:48,116_1,18
WD020109,14:20:00,14:22:30,117_2,19
WD230110,14:20:00,14:22:30,117_2,1
WD230110,14:25:32,14:26:12,116_2,2
WD230110,14:28:08,14:28:48,115_2,3
WD230110,14:30:29,14:31:09,216_2,4
WD230110,14:32:55,14:33:35,215_2,5
WD230110,14:36:33,14:37:13,214_2,6
WD230110,14:39:27,14:40:07,213_2,7
WD230110,14:41:47,14:42:27,212_2,8
WD230110,14:44:21,14:45:01,211_2,9
WD230110,14:47:09,14:47:49,210_2,10
WD230110,14:50:46,14:51:26,209_2,11
WD230110,14:52:39,14:53:19,208_2,12
WD230110,14:54:50,14:55:30,207_2,13
WD230110,14:57:08,14:57:48,206_2,14
WD230110,14:59:40,15:00:20,205_2,15
WD230110,15:01:46,15:02:26,204_2,16
WD230110,15:03:40,15:04:20,203_2,17
WD230110,15:05:55,15:06:35,202_2,18
WD230110,15:08:57,15:12:27,201_2,19
WD020111,15:08:57,15:12:27,201_2,1
WD020111,15:14:43,15:15:43,202_1,2
WD020111,15:17:18,15:17:58,203_1,3
WD020111,15:19:11,15:19:51,204_1,4
WD020111,15:21:18,15:21:58,205_1,5
WD020111,15:23:48,15:24:28,206_1,6
WD020111,15:26:07,15:26:47,207_1,7
WD020111,15:28:19,15:28:59,208_1,8
WD020111,15:30:12,15:30:52,209_1,9
WD020111,15:33:46,15:34:26,210_1,10
WD020111,15:36:33,15:37:33,211_1,11
WD020111,15:39:27,15:40:07,212_1,12
WD020111,15:41:52,15:42:32,213_1,13
WD020111,15:44:54,15:45:34,214_1,14
WD020111,15:48:20,15:49:00,215_1,15
WD020111,15:50:51,15:51:51,216_1,16
WD020111,15:53:38,15:54:18,115_1,17
WD020111,15:57:08,15:57:48,116_1,18
WD020111,16:00:00,16:02:30,117_2,19
WD230112,16:00:00,16:02:30,117_2,1
WD230112,16:05:32,16:06:12,116_2,2
WD230112,16:08:08,16:08:48,115_2,3
WD230112,16:10:29,16:11:09,216_2,4
WD230112,16:12:55,16:13:35,215_2,5
WD230112,16:16:33,16:17:13,214_2,6
WD230112,16:19:27,16:20:07,213_2,7
WD230112,16:21:47,16:22:27,212_2,8
WD230112,16:24:21,16:25:01,211_2,9
WD230112,16:27:09,16:27:49,210_2,10
WD230112,16:30:46,16:31:26,209_2,11
WD230112,16:32:39,16:33:19,208_2,12
WD230112,16:34:50,16:35:30,207_2,13
WD230112,16:37:08,16:37:48,206_2,14
WD230112,16:39:40,16:40:20,205_2,15
WD230112,16:41:46,16:42:26,204_2,16
WD230112,16:43:40,16:44:20,203_2,17
WD230112,16:45:55,16:46:35,202_2,18
WD230112,16:48:57,16:52:27,201_2,19
WD020113,16:48:57,16:52:27,201_2,1
WD020113,16:54:43,16:55:43,202_1,2
WD020113,16:57:18,16:57:58,203_1,3
WD020113,16:59:11,16:59:51,204_1,4
WD020113,17:01:18,17:01:58,205_1,5
WD020113,17:03:48,17:04:28,206_1,6
WD020113,17:06:07,17:06:47,207_1,7
WD020113,17:08:19,17:08:59,208_1,8
WD020113,17:10:12,17:10:52,209_1,9
WD020113,17:13:46,17:14:26,210_1,10
WD020113,17:16:33,17:17:33,211_1,11
WD020113,17:19:27,17:20:07,212_1,12
WD020113,17:21:52,17:22:32,213_1,13
WD020113,17:24:54,17:25:34,214_1,14
WD020113,17:28:20,17:29:00,215_1,15
WD020113,17:30:51,17:31:51,216_1,16
WD020113,17:33:38,17:34:18,115_1,17
WD020113,17:37:08,17:37:48,116_1,18
WD020113,17:40:00,17:42:30,117_2,19
WD230114,17:40:00,17:42:30,117_2,1
WD230114,17:45:32,17:46:12,116_2,2
WD230114,17:48:07,17:48:47,115_2,3
WD230114,17:50:29,17:51:09,216_2,4
WD230114,17:52:55,17:53:35,215_2,5
WD230114,17:56:33,17:57:13,214_2,6
WD230114,17:59:27,18:00:07,213_2,7
WD230114,18:01:47,18:02:27,212_2,8
WD230114,18:04:21,18:05:01,211_2,9
WD230114,18:07:09,18:07:49,210_2,10
WD230114,18:10:46,18:11:26,209_2,11
WD230114,18:12:39,18:13:19,208_2,12
WD230114,18:14:50,18:15:30,207_2,13
WD230114,18:17:08,18:17:48,206_2,14
WD230114,18:19:40,18:20:20,205_2,15
WD230114,18:21:46,18:22:26,204_2,16
WD230114,18:23:40,18:24:20,203_2,17
WD230114,18:25:55,18:26:35,202_2,18
WD230114,18:28:57,18:32:27,201_2,19
WD020115,18:28:57,18:32:27,201_2,1
WD020115,18:34:43,18:35:43,202_1,2
WD020115,18:37:18,18:37:58,203_1,3
WD020115,18:39:11,18:39:51,204_1,4
WD020115,18:41:18,18:41:58,205_1,5
WD020115,18:43:48,18:44:28,206_1,6
WD020115,18:46:07,18:46:47,207_1,7
WD020115,18:48:19,18:48:59,208_1,8
WD020115,18:50:12,18:50:52,209_1,9
WD020115,18:53:46,18:54:26,210_1,10
WD020115,18:56:33,18:57:33,211_1,11
WD020115,18:59:27,19:00:07,212_1,12
WD020115,19:01:52,19:02:32,213_1,13
WD020115,19:04:54,19:05:34,214_1,14
WD020115,19:08:20,19:09:00,215_1,15
WD020115,19:10:51,19:11:51,216_1,16
WD020115,19:14:39,19:15:19,115_1,17
WD020115,19:17:18,19:17:58,116_1,18
WD020115,19:20:00,19:22:30,117_2,19
WD230116,19:20:00,19:22:30,117_2,1
WD230116,19:25:32,19:26:12,116_2,2
WD230116,19:28:07,19:28:47,115_2,3
WD230116,19:30:29,19:31:09,216_2,4
WD230116,19:32:55,19:33:35,215_2,5
WD230116,19:36:33,19:37:13,214_2,6
WD230116,19:39:27,19:40:07,213_2,7
WD230116,19:41:47,19:42:27,212_2,8
WD230116,19:44:21,19:45:01,211_2,9
WD230116,19:47:09,19:47:49,210_2,10
WD230116,19:50:46,19:51:26,209_2,11
WD230116,19:52:39,19:53:19,208_2,12
WD230116,19:54:50,19:55:30,207_2,13
WD230116,19:57:08,19:57:48,206_2,14
WD230116,19:59:40,20:00:20,205_2,15
WD230116,20:01:46,20:02:26,204_2,16
WD230116,20:03:40,20:04:20,203_2,17
WD230116,20:05:55,20:06:35,202_2,18
WD230116,20:08:57,20:17:27,201_2,19
WD020117,20:08:57,20:17:27,201_2,1
WD020117,20:19:43,20:20:43,202_1,2
WD020117,20:22:18,20:22:58,203_1,3
WD020117,20:24:11,20:24:51,204_1,4
WD020117,20:26:18,20:26:58,205_1,5
WD020117,20:28:48,20:29:28,206_1,6
WD020117,20:31:07,20:31:47,207_1,7
WD020117,20:33:19,20:33:59,208_1,8
WD020117,20:35:12,20:35:52,209_1,9
WD020117,20:38:46,20:39:26,210_1,10
WD020117,20:41:33,20:42:33,211_1,11
WD020117,20:44:27,20:45:07,212_1,12
WD020117,20:46:52,20:47:32,213_1,13
WD020117,20:49:54,20:50:34,214_1,14
WD020117,20:53:20,20:54:00,215_1,15
WD020117,20:55:51,20:56:51,216_1,16
WD020117,20:59:39,21:00:19,115_1,17
WD020117,21:02:18,21:02:58,116_1,18
WD020117,21:05:00,21:07:30,117_2,19
WD230118,21:05:00,21:07:30,117_2,1
WD230118,21:09:35,21:10:15,116_2,2
WD230118,21:12:57,21:13:37,115_2,3
WD230118,21:15:29,21:16:09,216_2,4
WD230118,21:17:55,21:18:35,215_2,5
WD230118,21:21:33,21:22:13,214_2,6
WD230118,21:24:27,21:25:07,213_2,7
WD230118,21:26:47,21:27:27,212_2,8
WD230118,21:29:21,21:30:01,211_2,9
WD230118,21:32:09,21:32:49,210_2,10
WD230118,21:35:46,21:36:26,209_2,11
WD230118,21:37:39,21:38:19,208_2,12
WD230118,21:39:50,21:40:30,207_2,13
WD230118,21:42:08,21:42:48,206_2,14
WD230118,21:44:40,21:45:20,205_2,15
WD230118,21:46:46,21:47:26,204_2,16
WD230118,21:48:40,21:49:20,203_2,17
WD230118,21:50:55,21:51:35,202_2,18
WD230118,21:53:57,21:54:37,201_2,19
WD240201,06:57:38,06:58:18,217_1,1
WD240201,07:00:29,07:01:09,216_2,2
WD240201,07:02:55,07:03:35,215_2,3
WD240201,07:06:33,07:07:13,214_2,4
WD240201,07:09:27,07:10:07,213_2,5
WD240201,07:11:47,07:12:27,212_2,6
WD240201,07:14:21,07:15:01,211_2,7
WD240201,07:17:09,07:17:49,210_2,8
WD240201,07:20:46,07:21:26,209_2,9
WD240201,07:22:39,07:23:19,208_2,10
WD240201,07:24:50,07:25:30,207_2,11
WD240201,07:27:08,07:27:48,206_2,12
WD240201,07:29:40,07:30:20,205_2,13
WD240201,07:31:46,07:32:26,204_2,14
WD240201,07:33:40,07:34:20,203_2,15
WD240201,07:35:55,07:36:35,202_2,16
WD240201,07:39:07,07:42:37,201_1,17
WD170202,07:39:07,07:42:37,201_1,1
WD170202,07:44:43,07:45:43,202_1,2
WD170202,07:47:18,07:47:58,203_1,3
WD170202,07:49:11,07:49:51,204_1,4
WD170202,07:51:18,07:51:58,205_1,5
WD170202,07:53:48,07:54:28,206_1,6
WD170202,07:56:07,07:56:47,207_1,7
WD170202,07:58:19,07:58:59,208_1,8
WD170202,08:00:12,08:00:52,209_1,9
WD170202,08:03:46,08:04:26,210_1,10
WD170202,08:06:33,08:07:33,211_1,11
WD170202,08:09:27,08:10:07,212_1,12
WD170202,08:11:52,08:12:32,213_1,13
WD170202,08:14:54,08:15:34,214_1,14
WD170202,08:18:20,08:19:00,215_1,15
WD170202,08:20:51,08:21:51,216_1,16
WD170202,08:23:56,08:33:18,217_1,17
WD240203,08:23:56,08:33:18,217_1,1
WD240203,08:35:29,08:36:09,216_2,2
WD240203,08:37:55,08:38:35,215_2,3
WD240203,08:41:33,08:42:13,214_2,4
WD240203,08:44:27,08:45:07,213_2,5
WD240203,08:46:47,08:47:27,212_2,6
WD240203,08:49:21,08:50:01,211_2,7
WD240203,08:52:09,08:52:49,210_2,8
WD240203,08:55:46,08:56:26,209_2,9
WD240203,08:57:39,08:58:19,208_2,10
WD240203,08:59:50,09:00:30,207_2,11
WD240203,09:02:08,09:02:48,206_2,12
WD240203,09:04:40,09:05:20,205_2,13
WD240203,09:06:46,09:07:26,204_2,14
WD240203,09:08:40,09:09:20,203_2,15
WD240203,09:10:55,09:11:35,202_2,16
WD240203,09:14:07,09:17:37,201_1,17
WD170204,09:14:07,09:17:37,201_1,1
WD170204,09:19:43,09:20:43,202_1,2
WD170204,09:22:18,09:22:58,203_1,3
WD170204,09:24:11,09:24:51,204_1,4
WD170204,09:26:18,09:26:58,205_1,5
WD170204,09:28:48,09:29:28,206_1,6
WD170204,09:31:07,09:31:47,207_1,7
WD170204,09:33:19,09:33:59,208_1,8
WD170204,09:35:12,09:35:52,209_1,9
WD170204,09:38:46,09:39:26,210_1,10
WD170204,09:41:33,09:42:33,211_1,11
WD170204,09:44:27,09:45:07,212_1,12
WD170204,09:46:52,09:47:32,213_1,13
WD170204,09:49:54,09:50:34,214_1,14
WD170204,09:53:20,09:54:00,215_1,15
WD170204,09:55:51,09:56:51,216_1,16
WD170204,09:58:56,10:03:18,217_1,17
WD240205,09:58:56,10:03:18,217_1,1
WD240205,10:05:29,10:06:09,216_2,2
WD240205,10:07:55,10:08:35,215_2,3
WD240205,10:11:33,10:12:13,214_2,4
WD240205,10:14:27,10:15:07,213_2,5
WD240205,10:16:47,10:17:27,212_2,6
WD240205,10:19:21,10:20:01,211_2,7
WD240205,10:22:09,10:22:49,210_2,8
WD240205,10:25:46,10:26:26,209_2,9
WD240205,10:27:39,10:28:19,208_2,10
WD240205,10:29:50,10:30:30,207_2,11
WD240205,10:32:08,10:32:48,206_2,12
WD240205,10:34:40,10:35:20,205_2,13
WD240205,10:36:46,10:37:26,204_2,14
WD240205,10:38:40,10:39:20,203_2,15
WD240205,10:40:55,10:41:35,202_2,16
WD240205,10:44:07,10:44:47,201_1,17
WD860301,06:59:10,06:59:50,117_1,1
WD860301,07:02:05,07:02:45,116_2,2
WD860301,07:05:27,07:06:07,115_2,3
WD860301,07:07:37,07:08:17,114_2,4
WD860301,07:10:42,07:11:22,113_2,5
WD860301,07:13:06,07:13:46,112_2,6
WD860301,07:15:27,07:16:07,111_2,7
WD860301,07:18:24,07:19:04,110_2,8
WD860301,07:20:37,07:21:17,109_2,9
WD860301,07:22:52,07:23:32,108_2,10
WD860301,07:25:59,07:26:39,107_2,11
WD860301,07:28:06,07:28:46,106_2,12
WD860301,07:30:11,07:30:51,105_2,13
WD860301,07:33:56,07:34:36,104_3,14
WD860301,07:36:50,07:37:30,103_2,15
WD860301,07:38:52,07:39:32,102_2,16
WD860301,07:42:12,07:44:12,101_1,17
WD010302,07:42:12,07:44:12,101_1,1
WD010302,07:46:28,07:47:08,102_1,2
WD010302,07:48:29,07:49:09,103_1,3
WD010302,07:51:03,07:51:43,104_1,4
WD010302,07:54:08,07:54:48,105_1,5
WD010302,07:56:10,07:56:50,106_1,6
WD010302,07:58:18,07:58:58,107_1,7
WD010302,08:01:39,08:02:19,108_1,8
WD010302,08:03:44,08:04:24,109_1,9
WD010302,08:05:50,08:06:30,110_1,10
WD010302,08:08:48,08:09:28,111_1,11
WD010302,08:11:28,08:12:08,112_1,12
WD010302,08:13:57,08:14:37,113_1,13
WD010302,08:16:55,08:17:35,114_1,14
WD010302,08:19:04,08:19:44,115_1,15
WD010302,08:22:34,08:23:14,116_1,16
WD010302,08:25:08,08:29:50,117_1,17
WD860303,08:25:08,08:29:50,117_1,1
WD860303,08:32:05,08:32:45,116_2,2
WD860303,08:35:27,08:36:07,115_2,3
WD860303,08:37:37,08:38:17,114_2,4
WD860303,08:40:42,08:41:22,113_2,5
WD860303,08:43:06,08:43:46,112_2,6
WD860303,08:45:27,08:46:07,111_2,7
WD860303,08:48:24,08:49:04,110_2,8
WD860303,08:50:37,08:51:17,109_2,9
WD860303,08:52:52,08:53:32,108_2,10
WD860303,08:55:59,08:56:39,107_2,11
WD860303,08:58:06,08:58:46,106_2,12
WD860303,09:00:11,09:00:51,105_2,13
WD860303,09:03:56,09:04:36,104_3,14
WD860303,09:06:50,09:07:30,103_2,15
WD860303,09:08:52,09:09:32,102_2,16
WD860303,09:12:12,09:16:12,101_1,17
WD010304,09:12:12,09:16:12,101_1,1
WD010304,09:18:28,09:19:08,102_1,2
WD010304,09:20:29,09:21:09,103_1,3
WD010304,09:23:03,09:23:43,104_1,4
WD010304,09:26:08,09:26:48,105_1,5
WD010304,09:28:10,09:28:50,106_1,6
WD010304,09:30:18,09:30:58,107_1,7
WD010304,09:33:39,09:34:19,108_1,8
WD010304,09:35:44,09:36:24,109_1,9
WD010304,09:37:50,09:38:30,110_1,10
WD010304,09:40:48,09:41:28,111_1,11
WD010304,09:43:28,09:44:08,112_1,12
WD010304,09:45:57,09:46:37,113_1,13
WD010304,09:48:55,09:49:35,114_1,14
WD010304,09:51:04,09:51:44,115_1,15
WD010304,09:54:34,09:55:14,116_1,16
WD010304,09:57:08,09:59:50,117_1,17
WD860305,09:57:08,09:59:50,117_1,1
WD860305,10:02:05,10:02:45,116_2,2
WD860305,10:05:27,10:06:07,115_2,3
WD860305,10:07:37,10:08:17,114_2,4
WD860305,10:10:42,10:11:22,113_2,5
WD860305,10:13:06,10:13:46,112_2,6
WD860305,10:15:27,10:16:07,111_2,7
WD860305,10:18:24,10:19:04,110_2,8
WD860305,10:20:37,10:21:17,109_2,9
WD860305,10:22:52,10:23:32,108_2,10
WD860305,10:25:59,10:26:39,107_2,11
WD860305,10:28:06,10:28:46,106_2,12
WD860305,10:30:11,10:30:51,105_2,13
WD860305,10:33:56,10:34:36,104_3,14
WD860305,10:36:50,10:37:30,103_2,15
WD860305,10:38:52,10:39:32,102_2,16
WD860305,10:42:12,10:44:12,101_1,17
WD010306,10:42:12,10:44:12,101_1,1
WD010306,10:46:28,10:47:08,102_1,2
WD010306,10:48:29,10:49:09,103_1,3
WD010306,10:51:03,10:51:43,104_1,4
WD010306,10:54:08,10:54:48,105_1,5
WD010306,10:56:10,10:56:50,106_1,6
WD010306,10:58:18,10:58:58,107_1,7
WD010306,11:01:39,11:02:19,108_1,8
WD010306,11:03:44,11:04:24,109_1,9
WD010306,11:05:50,11:06:30,110_1,10
WD010306,11:08:48,11:09:28,111_1,11
WD010306,11:11:28,11:12:08,112_1,12
WD010306,11:13:57,11:14:37,113_1,13
WD010306,11:16:55,11:17:35,114_1,14
WD010306,11:19:04,11:19:44,115_1,15
WD010306,11:22:34,11:23:14,116_1,16
WD010306,11:25:08,11:29:50,117_1,17
WD860307,11:25:08,11:29:50,117_1,1
WD860307,11:32:05,11:32:45,116_2,2
WD860307,11:35:27,11:36:07,115_2,3
WD860307,11:37:37,11:38:17,114_2,4
WD860307,11:40:42,11:41:22,113_2,5
WD860307,11:43:06,11:43:46,112_2,6
WD860307,11:45:27,11:46:07,111_2,7
WD860307,11:48:24,11:49:04,110_2,8
WD860307,11:50:37,11:51:17,109_2,9
WD860307,11:52:52,11:53:32,108_2,10
WD860307,11:55:59,11:56:39,107_2,11
WD860307,11:58:06,11:58:46,106_2,12
WD860307,12:00:11,12:00:51,105_2,13
WD860307,12:03:56,12:04:36,104_3,14
WD860307,12:06:50,12:07:30,103_2,15
WD860307,12:08:52,12:09:32,102_2,16
WD860307,12:12:12,12:14:12,101_1,17
WD010308,12:12:12,12:14:12,101_1,1
WD010308,12:16:28,12:17:08,102_1,2
WD010308,12:18:29,12:19:09,103_1,3
WD010308,12:21:03,12:21:43,104_1,4
WD010308,12:24:08,12:24:48,105_1,5
WD010308,12:26:10,12:26:50,106_1,6
WD010308,12:28:18,12:28:58,107_1,7
WD010308,12:31:39,12:32:19,108_1,8
WD010308,12:33:44,12:34:24,109_1,9
WD010308,12:35:50,12:36:30,110_1,10
WD010308,12:38:48,12:39:28,111_1,11
WD010308,12:41:28,12:42:08,112_1,12
WD010308,12:43:57,12:44:37,113_1,13
WD010308,12:46:55,12:47:35,114_1,14
WD010308,12:49:04,12:49:44,115_1,15
WD010308,12:52:34,12:53:14,116_1,16
WD010308,12:55:08,12:59:50,117_1,17
WD860309,12:55:08,12:59:50,117_1,1
WD860309,13:02:05,13:02:45,116_2,2
WD860309,13:05:27,13:06:07,115_2,3
WD860309,13:07:37,13:08:17,114_2,4
WD860309,13:10:42,13:11:22,113_2,5
WD860309,13:13:06,13:13:46,112_2,6
WD860309,13:15:27,13:16:07,111_2,7
WD860309,13:18:24,13:19:04,110_2,8
WD860309,13:20:37,13:21:17,109_2,9
WD860309,13:22:52,13:23:32,108_2,10
WD860309,13:25:59,13:26:39,107_2,11
WD860309,13:28:06,13:28:46,106_2,12
WD860309,13:30:11,13:30:51,105_2,13
WD860309,13:33:56,13:34:36,104_3,14
WD860309,13:36:50,13:37:30,103_2,15
WD860309,13:38:52,13:39:32,102_2,16
WD860309,13:42:12,13:44:12,101_1,17
WD010310,13:42:12,13:44:12,101_1,1
WD010310,13:46:28,13:47:08,102_1,2
WD010310,13:48:29,13:49:09,103_1,3
WD010310,13:51:03,13:51:43,104_1,4
WD010310,13:54:08,13:54:48,105_1,5
WD010310,13:56:10,13:56:50,106_1,6
WD010310,13:58:18,13:58:58,107_1,7
WD010310,14:01:39,14:02:19,108_1,8
WD010310,14:03:44,14:04:24,109_1,9
WD010310,14:05:50,14:06:30,110_1,10
WD010310,14:08:48,14:09:28,111_1,11
WD010310,14:11:28,14:12:08,112_1,12
WD010310,14:13:57,14:14:37,113_1,13
WD010310,14:16:55,14:17:35,114_1,14
WD010310,14:19:04,14:19:44,115_1,15
WD010310,14:22:34,14:23:14,116_1,16
WD010310,14:25:08,14:29:50,117_1,17
WD860311,14:25:08,14:29:50,117_1,1
WD860311,14:32:05,14:32:45,116_2,2
WD860311,14:35:27,14:36:07,115_2,3
WD860311,14:37:37,14:38:17,114_2,4
WD860311,14:40:42,14:41:22,113_2,5
WD860311,14:43:06,14:43:46,112_2,6
WD860311,14:45:27,14:46:07,111_2,7
WD860311,14:48:24,14:49:04,110_2,8
WD860311,14:50:37,14:51:17,109_2,9
